119Vik;-Individual;1900-01-01;2100-01-01;1
aababilov;Grid Dynamics;2011-07-12;2100-01-01;7
Aaron Crickenberger;HP;1900-01-01;2100-01-01;8
Aaron Lee;Rackspace;1900-01-01;2100-01-01;39
Aaron Rosen;Nicira;1900-01-01;2012-07-23;4
Aaron Rosen;VMware;2012-07-23;2100-01-01;201
Aarti;Rackspace;2013-05-23;2100-01-01;10
Abhijeet Malawade;NTT;2013-08-20;2100-01-01;3
Abhinav Srivastava;AT&T;1900-01-01;2100-01-01;1
Abhishek Lahiri;Symantec Corp.;1900-01-01;2100-01-01;1
Abhishek Raut;Cisco Systems;2013-08-09;2100-01-01;5
Adalberto Medeiros;IBM;1900-01-01;2100-01-01;8
Adam Gandelman;Canonical;1900-01-01;2100-01-01;72
Adam Johnson;Midokura;1900-01-01;2100-01-01;2
Adam Spiers;SUSE;1900-01-01;2100-01-01;3
Adam Young;Red Hat;1900-01-01;2100-01-01;117
Adin Scannell;Gridcentric;1900-01-01;2100-01-01;1
Aditi Raveesh;Rackspace;1900-01-01;2100-01-01;5
Adrian Smith;Dell;1900-01-01;2100-01-01;14
Adrien Cunin;Linagora;1900-01-01;2100-01-01;2
afazekas;Red Hat;1900-01-01;2100-01-01;144
Ahmad Hassan;HP;1900-01-01;2100-01-01;9
Akihiro MOTOKI;NEC;1900-01-01;2100-01-01;189
Ala Rezmerita;Cloudwatt;1900-01-01;2100-01-01;4
Alan Jiang;IBM;2013-08-20;2100-01-01;3
Alan Meadows;-Individual;1900-01-01;2100-01-01;1
Alan Pevec;Red Hat;1900-01-01;2100-01-01;53
Alejandro Cabrera;Rackspace;2013-07-11;2100-01-01;35
Alessio Ababilov;Grid Dynamics;1900-01-01;2013-01-15;18
Alessio Ababilov;Yahoo!;2013-01-15;2100-01-01;52
Alex Gaynor;Rackspace;1900-01-01;2100-01-01;74
Alex Glikson;IBM;1900-01-01;2100-01-01;10
Alex Meade;Rackspace;1900-01-01;2100-01-01;313
Alex Yang;Sina;1900-01-01;2100-01-01;5
Alexander Gordeev;Mirantis;1900-01-01;2100-01-01;9
Alexander Gorodnev;Mirantis;2013-07-16;2100-01-01;6
Alexander Sakhnov;Mirantis;1900-01-01;2100-01-01;3
Alexei Kornienko;Mirantis;1900-01-01;2100-01-01;32
Alexey Izbyshev;ISPRAS;1900-01-01;2100-01-01;3
Alexey Ovchinnikov;Mirantis;1900-01-01;2100-01-01;1
alexpilotti;Microsoft;1900-01-01;2100-01-01;65
Allan Feid;Shutterstock;1900-01-01;2100-01-01;5
alop;AT&T;1900-01-01;2100-01-01;1
Alvaro Lopez Garcia;IFCA;1900-01-01;2100-01-01;47
Amala Basha;Rackspace;1900-01-01;2100-01-01;1
AmalaBasha;Rackspace;2013-05-29;2100-01-01;5
Amir Sadoughi;Rackspace;1900-01-01;2100-01-01;3
