company_commits,name
2184,Red Hat
2070,HP
1471,OpenStack Foundation
1160,Mirantis
978,IBM
439,Rackspace
398,Huawei
312,Cisco
310,NEC
308,VMWare
268,Intel
255,Fujitsu
213,StackOps Technologies
169,SUSE
154,Puppet Labs
152,Google, Inc.
143,Yahoo, Inc.
136,99cloud
131,Individual
129,Sony Mobile
90,NTT
74,PolyBeacon, Inc.
73,GNU
70,Internap
70,Midokura
69,NetApp
68,VA Linux Systems Japan
66,Centrin
64,B1 Systems
61,Nicira
56,UnitedStack
54,NTT Data
52,Canonical, Ltd.
51,Big Switch Networks
51,Thales
43,Tesora, Inc.
42,SwiftStack
41,Cloudscaling
41,eNovance
41,SAP
38,Ericsson
37,ThoughtWorks, Inc.
36,Metacloud
35,Orange
33,eBay
32,EMC
29,Xemeti
26,Alcatel-Lucent
26,Mellanox Technologies
26,Objectif-libre
25,JHU APL
25,MIT
25,Time Warner Cable, Inc.
23,Cloudbase Solutions
23,SolidFire
21,Pure Storage
20,FIT
19,Comcast
19,Tencent
18,Chef
18,Deutsche Telekom
18,MapR Technologies
17,LSD
16,Symantec Corporation
15,Catalyst
14,Arista Networks
14,Cloudwatt
14,Dell
13,AT&T
13,DreamHost
12,KylinCloud
12,SAS
11,Stackinsider
10,A10
10,CERN
10,Hitachi Data Systems
10,Lavabit
10,Ubuntu Kylin
9,CIeNET Technologies
9,EasyStack
9,iWeb
9,Workday
8,Anchor Hosting
8,Codethink
8,Federal University of Campina Grande
7,Blue Box Group
7,Nebula, Inc.
7,Oracle
7,PLUMgrid
6,Citrix
6,GlobalLogic
6,Scality
6,Wikimedia Foundation
5,DKRZ
5,Hastexo
5,Quobyte
5,Tata Consultancy
5,X-ION
4,Bull
4,KTH Royal Institute of Technology
4,Stanford University
3,Aptira
3,Code Aurora Forum
3,JPBerlin
3,University of Melbourne
2,Debian GNU/Linux
2,Drillinginfo
2,Go Daddy
2,LINBIT
2,NetOne
2,SMARTX
2,SoftLayer
2,Universidad de Cantabria
2,Wind River
2,X-IO
1,Ammeon
1,Bit-isle, Inc.
1,Cray
1,Embrane
1,Enter
1,Fusion-io
1,GigaSpaces
1,GPLHost
1,HCL
1,HGST
1,IzelTech
1,MontaVista
1,NimbleStorage
1,Nuage Networks
1,Parallels
1,Radware
1,Reliance Jio Infocomm, Ltd.
1,Risk Management Solutions
1,Solinea
1,StratoScale
1,The Apache Software Foundation
1,VirtualTech
