company_commits,name
415,HP
124,NEC
52,Red Hat
47,IBM
22,Mirantis
14,NTT
10,Deutsche Telekom
10,Intel
9,OpenStack Foundation
7,99cloud
7,Fujitsu
7,NTT Data
6,Cloudscaling
5,Huawei
4,Cisco
3,B1 Systems
3,Individual
3,Scality
3,UnitedStack
2,Anchor Hosting
2,Big Switch Networks
2,DKRZ
2,eNovance
2,GlobalLogic
2,Midokura
2,Nebula, Inc.
2,Rackspace
2,ThoughtWorks, Inc.
2,VA Linux Systems Japan
1,Aptira
1,Arista Networks
1,CIeNET Technologies
1,Citrix
1,Comcast
1,Ericsson
1,GigaSpaces
1,Hitachi Data Systems
1,JPBerlin
1,Lavabit
1,NetApp
1,Oracle
1,SUSE
1,VMWare
