company_commits,name
35,Red Hat
33,HP
30,IBM
30,OpenStack Foundation
23,NetApp
22,Intel
21,EMC
21,SolidFire
20,Mirantis
16,Pure Storage
15,VMWare
12,Dell
12,Huawei
9,FIT
9,Fujitsu
9,Hitachi Data Systems
7,DreamHost
6,NTT
5,NEC
5,NTT Data
5,Rackspace
3,Internap
3,JHU APL
3,Oracle
2,Individual
2,iWeb
2,KylinCloud
2,LINBIT
2,Scality
2,SUSE
2,Tencent
2,Ubuntu Kylin
2,X-IO
1,Anchor Hosting
1,Arista Networks
1,Blue Box Group
1,Canonical, Ltd.
1,Cisco
1,EasyStack
1,eBay
1,Ericsson
1,HGST
1,LSD
1,MIT
1,NimbleStorage
1,Quobyte
1,Risk Management Solutions
1,Solinea
1,StratoScale
1,Thales
1,UnitedStack
1,Yahoo, Inc.
